### BDSIM output created Mon Jun 24 16:17:43 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 0 0 44.746 0 0
2212 4000 0 0 45.946 0 0
2212 4000 0 0 46.5005 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.7235 0 0
2212 4000 0 0 46.969 0 0
2212 4000 0 0 53.339 0 0
2212 4000 0 0 53.339 0 0
2212 4000 0 0 53.339 0 0
2212 4000 0 0 53.818 0 0
2212 4000 0 0 53.819 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 53.82 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.303 0 0
2212 4000 0 0 54.888 0 0
2212 4000 0 0 57.978 0 0
2212 4000 0 0 57.978 0 0
2212 4000 0 0 57.978 0 0
2212 4000 0 0 58.3205 0 0
2212 4000 0 0 58.3205 0 0
2212 4000 0 0 58.3205 0 0
2212 4000 0 0 58.3205 0 0
2212 4000 0 0 59.628 0 0
2212 4000 -2.52694e-06 0 63.028 2.77634e-13 0
2212 4000 -2.52694e-06 0 63.028 2.77634e-13 0
2212 4000 -2.52694e-06 0 63.028 2.77634e-13 0
2212 4000 -2.52694e-06 0 63.028 2.77634e-13 0
2212 4000 -2.52694e-06 0 63.028 2.77634e-13 0
2212 4000 -2.28651e-06 0 63.894 2.77634e-13 0
2212 4000 -3.38862e-06 0 68.16 5.55269e-13 0
2212 4000 -3.30632e-06 0 72.426 8.32905e-13 0
2212 4000 -2.03967e-06 0 76.692 1.11054e-12 0
2212 4000 4.11319e-07 0 80.958 1.38817e-12 0
2212 4000 2.60422e-06 0 84.358 1.66581e-12 0
2212 4000 9.72189e-05 0 141.156 1.66581e-12 0
2212 4000 9.75521e-05 0 141.356 1.66581e-12 0
2212 4000 9.75521e-05 0 141.356 1.66581e-12 0
2212 4000 9.75521e-05 0 141.356 1.66581e-12 0
2212 4000 9.75521e-05 0 141.356 1.66581e-12 0
2212 4000 9.75521e-05 0 141.356 1.66581e-12 0
2212 4000 9.76354e-05 0 141.406 1.66581e-12 0
2212 4000 9.86349e-05 0 142.006 1.66581e-12 0
2212 4000 9.86349e-05 0 142.006 1.66581e-12 0
