### BDSIM output created Mon Jun 24 15:22:44 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 450 282.889 -9229.84 44.746 0.000121736 -0.00172575
2212 450 428.972 -11300.7 45.946 0.000121736 -0.00172575
2212 450 496.475 -12257.7 46.5005 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 523.622 -12642.5 46.7235 0.000121736 -0.00172575
2212 450 553.508 -13066.2 46.969 0.000121736 -0.00172575
2212 450 2384.57 -8427.03 53.339 0.000555644 0.00290273
2212 450 2384.57 -8427.03 53.339 0.000555644 0.00290273
2212 450 2384.57 -8427.03 53.339 0.000555644 0.00290273
2212 450 2650.72 -7036.62 53.818 0.000555644 0.00290273
2212 450 2651.28 -7033.72 53.819 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2651.83 -7030.82 53.82 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 2920.21 -5628.79 54.303 0.000555644 0.00290273
2212 450 3245.26 -3930.69 54.888 0.000555644 0.00290273
2212 450 4962.21 5038.78 57.978 0.000555644 0.00290273
2212 450 4962.21 5038.78 57.978 0.000555644 0.00290273
2212 450 4962.21 5038.78 57.978 0.000555644 0.00290273
2212 450 5152.52 6032.97 58.3205 0.000555644 0.00290273
2212 450 5152.52 6032.97 58.3205 0.000555644 0.00290273
2212 450 5152.52 6032.97 58.3205 0.000555644 0.00290273
2212 450 5152.52 6032.97 58.3205 0.000555644 0.00290273
2212 450 5879.03 9828.3 59.628 0.000555644 0.00290273
2212 450 7768.23 19697.6 63.0281 0.000555643 0.00290273
2212 450 7768.23 19697.6 63.0281 0.000555643 0.00290273
2212 450 7768.23 19697.6 63.0281 0.000555643 0.00290273
2212 450 7768.23 19697.6 63.0281 0.000555643 0.00290273
2212 450 7768.23 19697.6 63.0281 0.000555643 0.00290273
2212 450 8249.42 22211.4 63.8941 0.000555643 0.00290273
2212 450 10619.8 34594.5 68.1601 0.000555643 0.00290273
2212 450 12990.2 46977.6 72.4261 0.000555642 0.00290273
2212 450 15360.6 59360.7 76.6921 0.000555641 0.00290273
2212 450 17730.9 71743.8 80.9582 0.00055564 0.00290273
2212 450 19620.1 81613.1 84.3582 0.000555639 0.00290273
2212 450 51179.4 246483 141.156 0.000555639 0.00290273
2212 450 51290.5 247063 141.356 0.000555639 0.00290273
2212 450 51290.5 247063 141.356 0.000555639 0.00290273
2212 450 51290.5 247063 141.356 0.000555639 0.00290273
2212 450 51290.5 247063 141.356 0.000555639 0.00290273
2212 450 51290.5 247063 141.356 0.000555639 0.00290273
2212 450 51318.3 247209 141.406 0.000555639 0.00290273
2212 450 51651.7 248950 142.006 0.000555639 0.00290273
2212 450 51651.7 248950 142.006 0.000555639 0.00290273
2212 450 51651.7 248950 142.006 0.000555639 0.00290273
2212 450 51651.7 248950 142.006 0.000555639 0.00290273
2212 450 51651.7 248950 142.006 0.000555639 0.00290273
2212 450 52068.4 251127 142.756 0.000555639 0.00290273
2212 450 52068.4 251127 142.756 0.000555639 0.00290273
2212 450 53785.4 260097 145.846 0.000555639 0.00290273
2212 450 53785.4 260097 145.846 0.000555639 0.00290273
2212 450 54441 263522 147.026 0.000555639 0.00290273
2212 450 54996.7 266425 148.026 0.000555639 0.00290273
2212 450 54996.7 266425 148.026 0.000555639 0.00290273
2212 450 56747.2 275570 151.177 0.000555639 0.00290273
2212 450 56747.2 275570 151.177 0.000555639 0.00290273
2212 450 56747.2 275570 151.177 0.000555639 0.00290273
2212 450 56747.2 275570 151.177 0.000555639 0.00290273
2212 450 57861 281388 153.181 0.000555639 0.00290273
2212 450 57777 308819 162.631 -0.000573406 0.00290273
2212 450 57777 308819 162.631 -0.000573406 0.00290273
2212 450 56994.9 312778 163.995 -0.000573406 0.00290273
2212 450 56478.8 315391 164.895 -0.000573406 0.00290273
2212 450 56478.8 315391 164.895 -0.000573406 0.00290273
2212 450 56251.5 316542 165.292 -0.000573406 0.00290273
2212 450 55508.6 320302 166.587 -0.000573406 0.00290273
2212 450 54992.6 322915 167.487 -0.000573406 0.00290273
2212 450 54779.3 323995 167.859 -0.000573406 0.00290273
2212 450 52829.7 333864 171.259 -0.000573406 0.00290273
2212 450 52829.7 333864 171.259 -0.000573406 0.00290273
2212 450 52271.2 336691 172.233 -0.000573406 0.00290273
2212 450 52271.2 336691 172.233 -0.000573406 0.00290273
2212 450 50842.5 343923 174.725 -0.000573406 0.00290273
2212 450 40362.1 396978 193.003 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39843.7 399602 193.907 -0.000573406 0.00290273
2212 450 39734.8 400154 194.097 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
